Locus,MHC,Best_EL_Rank,Peptide_Type
1884,HLA-B07:02,4.6458,V
1884,HLA-B08:01,5.4014,V
1884,HLA-C07:01,1.9396,V
1884,HLA-C07:02,3.517,V
4230,HLA-A01:01,0.0158,V
4230,HLA-A03:01,1.5668,V
4230,HLA-B07:02,1.4406,V
4230,HLA-B08:01,8.8559,V
4230,HLA-C07:01,0.5857,V
4230,HLA-C07:02,0.5138,V
6874,HLA-A01:01,2.8618,V
6874,HLA-A03:01,0.1174,V
6874,HLA-B07:02,2.5909,V
6874,HLA-B08:01,2.061,V
6874,HLA-C07:01,3.5984,V
6874,HLA-C07:02,7.2979,V
11521,HLA-A01:01,4.8384,V
11521,HLA-A03:01,2.4611,V
11521,HLA-B07:02,5.1442,V
11521,HLA-B08:01,1.6768,V
11521,HLA-C07:01,2.29,V
11521,HLA-C07:02,0.5925,V
12970,HLA-A01:01,22.8596,V
12970,HLA-A03:01,4.1078,V
12970,HLA-B07:02,4.293,V
12970,HLA-B08:01,0.4993,V
12970,HLA-C07:01,1.3193,V
12970,HLA-C07:02,0.2661,V
13620,HLA-A01:01,0.3694,V
13620,HLA-A03:01,14.2658,V
13620,HLA-B07:02,10.3144,V
13620,HLA-B08:01,12.6755,V
13620,HLA-C07:01,3.4553,V
13620,HLA-C07:02,2.3124,V
16210,HLA-A01:01,3.4929,V
16210,HLA-A03:01,2.6965,V
16210,HLA-B07:02,1.5289,V
16210,HLA-B08:01,1.1691,V
16210,HLA-C07:01,2.9254,V
16210,HLA-C07:02,1.4061,V
17430,HLA-A01:01,3.6123,V
17430,HLA-A03:01,3.3092,V
17430,HLA-B07:02,4.8426,V
17430,HLA-B08:01,4.0244,V
17430,HLA-C07:01,1.7178,V
17430,HLA-C07:02,2.166,V
18312,HLA-A01:01,11.482,V
18312,HLA-A03:01,11.0747,V
18312,HLA-B07:02,22.5,V
18312,HLA-B08:01,15.4365,V
18312,HLA-C07:01,28.8,V
18312,HLA-C07:02,25.7273,V
19164,HLA-A01:01,1.902,V
19164,HLA-A03:01,0.0748,V
19164,HLA-B07:02,6.0655,V
19164,HLA-B08:01,2.2236,V
19164,HLA-C07:01,0.1356,V
19164,HLA-C07:02,0.0127,V
21657,HLA-A01:01,0.0572,V
21657,HLA-A03:01,0.8671,V
21657,HLA-B07:02,5.9842,V
21657,HLA-B08:01,25.1348,V
21657,HLA-C07:01,1.4405,V
21657,HLA-C07:02,2.4947,V
22675,HLA-A01:01,0.4342,V
22675,HLA-A03:01,2.4005,V
22675,HLA-B07:02,4.0821,V
22675,HLA-B08:01,2.4927,V
22675,HLA-C07:01,1.0984,V
22675,HLA-C07:02,0.4279,V
24112,HLA-A01:01,9.4191,V
24112,HLA-A03:01,1.1168,V
24112,HLA-B07:02,4.6758,V
24112,HLA-B08:01,0.9728,V
24112,HLA-C07:01,1.3395,V
24112,HLA-C07:02,1.568,V
